gene,meanTumor,meanControl,log2FC,pvalue
SMCO3,0.1935475260043419,0.2593806161116855,-0.06583309010734359,0.18925640761891707
UTP20,5.034700246253666,5.260840419006766,-0.22614017275309983,0.3453108698612837
OLFR1178,0.0,0.0,0.0,1.0
ECT2L,0.4912220602407373,0.01888581851347123,0.47233624172726607,5.73778198392267e-08
ZBTB46,0.196161518445343,0.04048570271449361,0.15567581573084938,0.0007462103047744045
GM16381,0.007666655113745481,0.0,0.007666655113745481,0.38928314247621143
FAM8A1,3.7874825302075172,3.4854528441724084,0.3020296860351088,0.0034591067850702002
NCTC1,0.0046101113463217274,0.0,0.0046101113463217274,0.38928314247621143
MPIG6B,0.004190858078551835,0.021322635994355115,-0.01713177791580328,0.4093111183486755
HAMP,0.21536868543433452,0.31129011875455304,-0.09592143332021852,0.7191328144350164
A2ML1,0.05694616033438565,0.041031276396108624,0.015914883938277023,0.4123264555249263
PSORS1C2,0.26633285759128195,0.31764694546077027,-0.05131408786948832,0.6147905440670343
VMAC,3.4073566408802898,2.565229493505256,0.8421271473750336,1.3366512746027908e-05
9330136K24RIK,0.3078247355330766,0.06798085716333578,0.2398438783697408,9.554211341849381e-05
CXCL14,0.0,0.0,0.0,1.0
NCF2,5.7640078228251115,5.6351872324663645,0.12882059035874693,0.3497599891828189
CLDN17,0.0,0.0,0.0,1.0
DUSP9,0.3832189136491067,0.028983500615307058,0.35423541303379963,1.3151832521883475e-05
DPH7,4.392893129576872,4.428468898392455,-0.03557576881558333,0.7104737332321681
2300002M23RIK,0.0,0.0,0.0,1.0
AREL1,5.6429630705220255,5.3124087213790165,0.33055434914300896,0.06084281927316096
OLFR1085,0.0,0.0,0.0,1.0
HIST1H4I,6.948645378606894,7.185251968448894,-0.23660658984199934,0.41092876615928
PAK1IP1,6.31795538540467,6.413742701601464,-0.0957873161967937,0.004944664384837101
UBC,6.917757912748805,6.507475767858007,0.4102821448907985,0.010872133219066951
PROKR2,0.0,0.0,0.0,1.0
CCDC28A,2.7417896106790742,1.9975380262473295,0.7442515844317448,0.02829154921473025
ZFP608,3.8327395913095583,5.103996776228772,-1.271257184919214,5.172086400260747e-08
OLFML1,0.0,0.0,0.0,1.0
ITFG1,5.675601176439017,5.243786930037209,0.43181424640180754,0.002083117479103495
ZFP873,3.4174821505808937,3.1033743944905816,0.31410775609031205,0.00012591068317165883
OLFR1425,0.0,0.0,0.0,1.0
AFMID,1.5361584473237977,1.9439082955231346,-0.4077498481993369,0.01474092761229657
B3GAT3,4.909662262442754,4.491123481494272,0.41853878094848174,0.009536179572724582
4930544D05RIK,0.059563624606626266,0.07463851309688674,-0.015074888490260473,0.8086119299895103
SFT2D2,6.276887916375198,6.042304858085153,0.23458305829004544,0.3320103372191453
DMBT1,0.011821910865542762,0.005885023809541605,0.005936887056001157,0.44942752130758645
DUT,6.835701332602028,7.364444020180511,-0.5287426875784833,0.10563063395073599
E030030I06RIK,1.309357480200369,1.5994638421098872,-0.29010636190951833,0.013549107183208557
ADCY3,0.17787123490623766,2.7516874358175225,-2.573816200911285,9.546850779917255e-13
FRS3,0.5293935794332568,0.247095993250715,0.28229758618254186,0.010221857488789163
UTS2,0.0,0.0,0.0,1.0
ATG7,3.459255103987068,3.5384074127607468,-0.07915230877367874,0.07438301572690709
PDILT,2.0089542658339403,0.1036138489012306,1.9053404169327097,7.115584697151716e-13
XAF1,4.199010188713235,3.370587470647272,0.8284227180659629,0.008045496502747532
PTN,0.0,0.0,0.0,1.0
CCDC63,0.12331396169300686,0.05967855141916458,0.06363541027384229,0.15400176876269292
EDA2R,0.21916306249966055,0.1708516979787335,0.04831136452092705,0.06188869751073035
TERF1,5.320438883191749,5.604177251260492,-0.2837383680687431,0.07565857038208414
FBXW5,5.060885850900022,4.775092770774844,0.28579308012517846,0.0023719320904194057
HSP90B1,10.20395875875719,9.947589375032681,0.25636938372450935,0.0003084649412519641
GM13427,0.12960995192500188,0.14920035645290247,-0.01959040452790059,0.8907775427912414
TBX1,0.5938055169375362,0.0076632349480454985,0.5861422819894907,1.1519409752915242e-05
FBXW21,0.0,0.0,0.0,1.0
KIF4-PS,0.0,0.0,0.0,1.0
CABYR,0.2015685172111463,0.3500839850653771,-0.14851546785423078,0.006589176201287729
VMN1R213,0.0,0.0,0.0,1.0
LZTS2,1.273903969990031,0.14270927724465227,1.1311946927453786,3.155903083844492e-05
EMILIN1,0.12046356471540727,0.14383339057165817,-0.0233698258562509,0.39663845662271136
SLC37A2,3.65810082068233,3.644686223806835,0.013414596875494844,0.9339041542583587
SLA,5.6478471327215845,5.587369396819648,0.06047773590193639,0.7486878964930315
HIST1H3D,2.8703684183589107,3.6125176137249726,-0.7421491953660619,0.10509548008005164
LOC100125594,0.0,0.0,0.0,1.0
AP2B1,6.26310387965306,6.117261852166255,0.14584202748680486,0.03775395642791509
GJB2,0.0,0.0,0.0,1.0
FANCE,3.859179859856516,3.6033790943722748,0.25580076548424113,0.00045688160106991646
ZFP457,0.25140384245422825,0.1972480843951458,0.05415575805908246,0.15183954175198855
TULP4,3.318169779153242,3.368401267792838,-0.050231488639596034,0.7624848244172892
LMBRD1,3.8713897411171536,3.983002148373184,-0.11161240725603028,0.7253208311426602
SLC7A4,0.0053395737640650085,0.0034777119128208732,0.0018618618512441353,0.7161585198784595
VMN1R155,0.0,0.0,0.0,1.0
SLC46A2,0.01014102769967641,0.0,0.01014102769967641,0.38928314247621143
2700038G22RIK,2.904551224886618,4.1403543529891405,-1.2358031281025226,0.0030394248878588574
GSDMC4,0.1035051932696882,0.21495776751016274,-0.11145257424047454,0.018687748595926923
CDC40,5.769651201711553,5.875185383341744,-0.10553418163019135,0.0916525257443521
TMEM258,8.750310434396708,8.614097169646758,0.13621326474994966,0.050039531481198836
SLC39A6,5.712072986707004,6.479285592186999,-0.7672126054799948,1.885438617473617e-08
C330024C12RIK,0.0,0.0,0.0,1.0
PPP1R2-PS3,0.6688131893190757,0.5206378314471841,0.14817535787189162,0.32765076537065696
